test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T191,unknown,knockout,,,,,Shoot_Branching,decreased,,,,,,,"When indole-3-acetic acid (auxin) is applied, this IPT expression becomes suppressed.",,,,
T192,unknown,knockout,,,,,Shoot_Branching,decreased,,,,,,,GA3/6 can play a role in maintaining AXB quiescence by upregulating GA2ox genes.,,,,
T193,unknown,knockout,,,,,Shoot_Branching,decreased,,,,,,,fhy3 mutations that suppressed the highly-branched phenotype of max2-1 mutants by inhibiting axillary bud outgrowth.,,,,
T194,unknown,knockout,,,,,Shoot_Branching,decreased,,,,,,,fhy3 mutations that suppressed the highly-branched phenotype of max2-1 mutants.,,,,
T195,unknown,knockout,,,,,Shoot_Branching,increased,,,,,,,Wild-type (Col) Arabidopsis plants grown under nitrate sufficient conditions produce more branches.,,,,
T196,unknown,knockout,,,,,Shoot_Branching,increased,,,,,,,plants deficient in strigolactone synthesis or signaling constitutively adopt a high branching phenotype.,,,,
T197,unknown,knockout,,,,,Shoot_Branching,decreased,,,,,,,plants deficient in cytokinin synthesis or signaling constitutively adopt branching levels similar to wild-type on low nitrate.,,,,
T198,unknown,knockout,,,,,Shoot_Branching,increased,,,,,,,"sugars, unlike auxin, initiated the outgrowth of the basal bud in pea.",,,,
T199,unknown,knockout,,,,,Shoot_Branching,decreased,,,,,,,increasing FR light promoted BRC1 expression.,,,,
T200,unknown,knockout,,,,,Shoot_Branching,decreased,,,,,,,ABA levels and associated signaling may play a much more prominent role in the initiation.,,,,
T201,unknown,knockout,,,,,Shoot_Branching,increased,,,,,,,"as rapidly as 3 h after high R:FR treatment, there is a sustained decline of bud ABA.",,,,
